,ID_Pelicula,Tipo,Título,Link,Sinopsis,Calificación,Lanzamiento,Duración [MIN]
21,50199,Movie,Cartas a Julieta,https://www.starz.com/ar/es/movies/Cartas-a-Julieta-50199,"Mientras está de vacaciones en Verona, Sophie se encuentra con una ""carta a Julieta"" y se embarca en una misión para encontrar a su autor.",ATP,2010,105
22,42904,Movie,La última puerta,https://www.starz.com/ar/es/movies/La-última-puerta-42904,Johnny Depp es contratado por un fiel satánico que se hace pasar por un erudito de la demonología para localizar dos escasos volúmenes de una invocación satánica.,SAM16,1999,133
23,51328,Movie,De Tyler Perry: El club de las madres solteras,https://www.starz.com/ar/es/movies/De-Tyler-Perry:-El-club-de-las-madres-solteras-51328,"Cinco madres solteras en problemas dejan de lado sus diferencias para formar un grupo de apoyo, hallan inspiración y humor en su nueva hermandad y se ayudan mutuamente para superar los obstáculos que enfrentan.",SAM13,2014,111
24,51896,Movie,Después Del Sexo,https://www.starz.com/ar/es/movies/Después-Del-Sexo-51896,"¿De qué hablamos cuando el sexo termina? Conoce a ocho parejas -heterosexuales y gays, vírgenes y extraños, amantes, mentirosos, engañadores y swingers.",SAM16,2007,77
25,43838,Movie,Casino,https://www.starz.com/ar/es/movies/Casino-43838,"Esta historia se desarrolla en Las Vegas, en 1973, y está basada en hechos sobre la operación de un casino multimillonario de la mafia donde las fortunas y las vidas se creaban y se perdían.",SAM16,1995,178
26,50508,Movie,Dura verdad,https://www.starz.com/ar/es/movies/Dura-verdad-50508,"Durante su viaje en velero por España, una familia entera es secuestrada. Ahora, un joven de Wall Street debe enfrentar a las personas responsables: agentes de inteligencia del gobierno que buscan recuperar un maletín misterioso.",SAM13,2012,93
27,62067,Movie,Horizonte profundo,https://www.starz.com/ar/es/movies/Horizonte-profundo-62067,"Horizonte profundo es una historia llena de heroísmo y acción, basada en los hechos reales que sucedieron en la plataforma de Deepwater Horizon en el Golfo de México en 2010. La historia narra la valentía de los trabajadores de la plataforma y los momentos de coraje. En esta batalla de supervivencia durante lo que se convertía en uno de los mayores desastres naturales hechos por el hombre.",SAM13,2016,107
28,28990,Movie,La enfermera,https://www.starz.com/ar/es/movies/La-enfermera-28990,"Durante el día, la enfermera Abby Russell se ocupa con cariño de los pacientes de All Saints Memorial Hospital; durante la noche, merodea por los clubes nocturnos, seduciendo a hombres infieles a tener relaciones peligrosas.",SAM16,2014,83
29,9303,Movie,Dulce venganza,https://www.starz.com/ar/es/movies/Dulce-venganza-9303,"Este remake del clásico de 1978 del mismo nombre, cuenta la historia de una mujer que es brutalmente violada y asaltada por cuatro hombres, sobrevive, y toma la ley en sus propias manos buscando venganza contra sus atacantes.",SAM16,2010,108
30,30857,Movie,Rendirse jamás,https://www.starz.com/ar/es/movies/Rendirse-jamás-30857,"Un adolescente rebelde ingresa a una nueva escuela, donde se ve envuelto en la escena de la lucha clandestina. Ayudado por un especialista en artes marciales mixtas, se prepara para asumir su mayor desafío hasta ahora.",SAM13,2008,113
31,62672,Movie,Día del atentado,https://www.starz.com/ar/es/movies/Día-del-atentado-62672,La historia del bombardeo de la maratón de Boston del 2013 y la búsqueda de personas en la ciudad para encontrar a los terroristas responsables.,SAM16,2016,133
32,25264,Movie,La reina,https://www.starz.com/ar/es/movies/La-reina-25264,Hellen Mirren ganó el Oscar a Mejor Actriz en 2006 por su brillante retrato de la Reina Isabel cuando lidiaba con la trágica muerte de la Princesa Diana.,SAM13,2006,103
33,45072,Movie,Caracortada,https://www.starz.com/ar/es/movies/Caracortada-45072,"Cuando Fidel Castro abrió la frontera para que los cubanos que tuviesen familia en Miami pudieran salir, 125 mil personas salieron de Cuba con sueños de libertad y de una nueva vida.",SAM16,1983,169
34,50666,Movie,Crepúsculo La Saga: Amanecer - Parte 1,https://www.starz.com/ar/es/movies/Crepúsculo-La-Saga:-Amanecer---Parte-1-50666,"Drama de fantasía protagonizada por Robert Pattinson y Kristen Stewart. Después de regresar de su Luna de miel, Bella y Edward se sorprenden al descubrir que están esperando un bebé. Las cosas pronto empeorarán, ya que el embarazo pone en riesgo la salud de Bella y la manada de lobos, que ven al niño por nacer como una amenaza, complotan para asegurar que no llegue a la edad adulta.",SAM13,2011,117
35,50238,Movie,Crepúsculo la saga: Luna Nueva,https://www.starz.com/ar/es/movies/Crepúsculo-la-saga:-Luna-Nueva-50238,"A Bella se le parte el corazón cuando la familia Cullen decide mudarse para poner fin a su relación con el vampiro Edward. Ella busca consuelo en su amigo Jacob, y comienza a preguntarse si podrían ser algo más.",SAM13,2009,130
36,50512,Movie,De Tyler Perry: ¿Por qué me casé también?,https://www.starz.com/ar/es/movies/De-Tyler-Perry:-¿Por-qué-me-casé-también?-50512,"Con el mismo elenco carismático de la exitosa comedia dramática, ""¿Por qué me casé?"", Tyler Perry nos trae el siguiente capítulo en la vida de ocho amigos de la universidad que luchan con los desafíos de la vida conyugal en: ""¿Por qué me casé también?""",SAM13,2010,120
37,52304,Movie,47 Ronin,https://www.starz.com/ar/es/movies/47-Ronin-52304,"Después de que un traicionero caudillo mate a su señor y los destierre, 47 intrépidos samuráis juran vengarse y recobrar el honor de los suyos.",SAM13,2013,118
38,36016,Movie,Apariciones,https://www.starz.com/ar/es/movies/Apariciones-36016,"Extraños y aterradores sucesos rodean a una familia (Donald Sutherland, Sissy Spacek, Rachel Hurd-Wood) en el estado de Tennessee de 1817 luego de que un ciudadano maldijera al padre. Possession knows no bounds. Basada en el libro de Brent Monahan.",SAM16,2005,90
39,52225,Movie,Pasión inocente,https://www.starz.com/ar/es/movies/Pasión-inocente-52225,"Megan, una esposa y madre, decide que la familia debe acoger a la estudiante de intercambio, Sophie.",SAM16,2014,97
40,60743,Movie,Oscura seducción,https://www.starz.com/ar/es/movies/Oscura-seducción-60743,"Una cirujana plástica exitosa se embarca en una aventura apasionada con un enfermero, solo para descubrir el lado oscuro de su personalidad que alcanza niveles aterradores cuando ella se ve obligada a terminar su relación.",SAM16,2011,89
