,Título,Tipo,ID_Serie,Link,Sinopsis,CantidadEpisodios,Genero,Año Lanzamiento,Actual o Finalizado,Calificación
53,Manhunt: Deadly Games,59063,Series with Season,https://www.starz.com/ar/es/series/Manhunt:-Deadly-Games/59063,"Después de un mortal ataque terrorista en los Juegos Olímpicos de 1996, los agentes del FBI cazan a un escurridizo atacante en serie, mientras que un hombre inocente acusado injustamente, lucha por limpiar su nombre.",10,"[{'description': 'Crimen'}, {'description': 'Drama'}]",2020,2020,SAM13
54,No Man's Land,61940,Series with Season,https://www.starz.com/ar/es/series/No-Man's-Land/61940,"La hermana de Antoine lleva varios años declarada muerta, pero él está convencido de que está viva. Viaja a Siria, donde las combatientes kurdas luchan contra ISIS.",9,"[{'description': 'Drama'}, {'description': 'Guerra'}]",2020,2020,SAM16
55,SEDUCED: INSIDE THE NXIVM CULT,59967,Series with Season,https://www.starz.com/ar/es/series/SEDUCED:-INSIDE-THE-NXIVM-CULT/59967,"Esta docuserie de la directora y productora Cecilia Peck y la productora y editora Inbal Lessner —quienes colaboraron en ""Brave Miss World"", nominada al Emmy®— sigue el peligroso viaje de India Oxenberg a través del culto de esclavización sexual NXVIM.",4,[{'description': 'Documental'}],2020,2020,SAM16
56,Step Up,62777,Series with Season,https://www.starz.com/ar/es/series/Step-Up/62777,"Basada en las películas favoritas de los fans, la serie Step Up es un drama emocionante, sexy, y lleno de música sobre bailarines en una escuela de artes escénicas comtemporáneas.",20,"[{'description': 'Drama'}, {'description': 'Música'}]",2018,2019,SAM13
57,The Night Manager,61267,Series with Season,https://www.starz.com/ar/es/series/The-Night-Manager/61267,"""The Night Manager"" es un apasionante thriller de espionaje,  muestra las andanzas del ex soldado inglés Jonathan Pine (Hiddleston), que, tras incorporarse al servicio de inteligencia británico, debe infiltrarse en el círculo de confianza del peligroso traficante de armas Richard Onslow Roper (Laurie). Debido a esto, Pine deberá convertirse en todo un criminal.",6,"[{'description': 'Crimen'}, {'description': 'Drama'}]",2016,2016,SAM13
58,America To Me,38818,Series with Season,https://www.starz.com/ar/es/series/America-To-Me/38818,"La serie documental sin libreto “América para mí” lidia con problemas cruciales al plantear preguntas complejas y controvertidas, como se ve a través de los ojos de un diverso grupo de jóvenes estadounidenses.",10,[{'description': 'Documental'}],2018,2018,SAM16
59,And Then There Were None,45929,Series with Season,https://www.starz.com/ar/es/series/And-Then-There-Were-None/45929,"Basado en la novela policíaca más vendida de todos los tiempos por Agatha Christie. Ocho extraños son atraídos a una isla aislada en la costa de Devon, donde pronto queda claro que han sido convocados para expiar sus crímenes pasados.",3,"[{'description': 'Crimen'}, {'description': 'Drama'}]",2015,2015,SAM13
60,Blindspotting,62263,Series with Season,https://www.starz.com/ar/es/series/Blindspotting/62263,"“Blindspotting” es protagonizada por Ashley que vive en Oakland, donde su novio y padre de su hijo es encarcelado; esta situación la deja en la nada y le produce una crisis existencial.",8,[{'description': 'Drama'}],2021,2021,SAM16
61,Boss,30888,Series with Season,https://www.starz.com/ar/es/series/Boss/30888,"El alcalde Tom Kane (Kelsey Grammer) es el rey de Chicago y gobierna su dominio con un puño de hierro. El engaño, el escándalo y la traición van de la mano con la forma de política de Kane.",18,[{'description': 'Drama'}],2011,2012,SAM16
62,Chasing Life,45516,Series with Season,https://www.starz.com/ar/es/series/Chasing-Life/45516,"Chasing Life sigue a April, una periodista de veintitantos años cuya vida finalmente se está arreglando. Cuando repentinamente le diagnostican cáncer, su mundo se pone de cabeza y ella debe aprender a seguir persiguiendo la vida.",34,[{'description': 'Drama'}],2014,2015,SAM13
63,Fleming: El Hombre Que Sería Bond,45716,Series with Season,https://www.starz.com/ar/es/series/Fleming:-El-Hombre-Que-Sería-Bond/45716,"Drama de acción basado en la historia de la vida de Ian Fleming, creador de James Bond.",4,[{'description': 'Drama'}],2014,2014,SAM16
64,The Kill Point,45612,Series with Season,https://www.starz.com/ar/es/series/The-Kill-Point/45612,"""Este drama lleno de testosterona trata de un grupo de veteranos de guerra insensibilizados, quienes se enfrentan a un negociador de rehenes que se niega a retroceder durante un atraco bancario frustrado"".",8,"[{'description': 'Acción'}, {'description': 'Crimen'}]",2007,2007,SAM16
65,Leavenworth,45100,Series with Season,https://www.starz.com/ar/es/series/Leavenworth/45100,"""Leavenworth"" está basada en la polémica historia real de Clint Lorance, un ex teniente, que cumple una condena de 19 años por homicidio en la prisión estadounidense de ""Leavenworth.""",6,"[{'description': 'Documental'}, {'description': 'Drama'}]",2019,2020,SAM16
66,Los Miserables,46038,Series with Season,https://www.starz.com/ar/es/series/Los-Miserables/46038,"En el contexto épico de Francia en una época de disturbios civiles, ""Les Misérables"" es la historia de Jean Valjean, un ex convicto incapaz de escapar de la sombra de su vida pasada.",8,[{'description': 'Drama'}],2019,2019,SAM13
67,Now Apocalypse,43571,Series with Season,https://www.starz.com/ar/es/series/Now-Apocalypse/43571,"“Now Apocalypse” se centra en Ulysses y sus amigos, en su búsqueda de amor, sexo y fama mientras intentan navegar la ciudad de Los Ángeles. Los sueños de Ulysses le hacen preguntarse si no existe una especie de conspiración oscura.",10,"[{'description': 'Comedia'}, {'description': 'LGBTQ'}]",2019,2019,SAM16
68,Rosemary's Baby,45825,Series with Season,https://www.starz.com/ar/es/series/Rosemary's-Baby/45825,"""Rosemary's Baby"" es la nueva versión de la novela de superventas de Ira levin, que sigue a una mujer embarazada quien descubre una trama siniestra alrededor de su bebé no nacido.",2,[{'description': 'Suspenso'}],2014,2014,SAM13
69,Shining Vale,64078,Series with Season,https://www.starz.com/ar/es/series/Shining-Vale/64078,Prepárate para Shining Vale. Estreno de la serie el 6 de marzo.,1,"[{'description': 'Comedia'}, {'description': 'Drama'}]",2022,2022,SAM16
70,The Attaché,62262,Series with Season,https://www.starz.com/ar/es/series/The-Attaché/62262,"Avshalom, un músico exitoso, se traslada a París cuando su esposa Annabelle consigue un trabajo allí. Son recibidos por ataques terroristas y el sueño de un año romántico en el extranjero se vuelve una pesadilla.",10,[{'description': 'Drama'}],2021,2021,SAM16
71,Warriors Of Liberty City,39040,Series with Season,https://www.starz.com/ar/es/series/Warriors-Of-Liberty-City/39040,"La serie sigue a los Guerreros de Liberty City, un programa de fútbol juvenil. La vida, como el fútbol, es un deporte de contacto, y para los niños, ser un Guerrero es el secreto para ambos.",6,"[{'description': 'Documental'}, {'description': 'Deportes'}]",2018,2018,SAM16
72,Wrong Man,38184,Series with Season,https://www.starz.com/ar/es/series/Wrong-Man/38184,Un equipo de expertos junto con investigadores locales buscan la verdad que hay detrás de casos criminales de convictos que fueron encarcelados por décadas y que presumen ser inocentes.,13,"[{'description': 'Documental'}, {'description': 'Drama'}]",2018,2020,SAM16
